pkuid,cod_rip,cod_reg,cod_prov,cod_cm,cod_uts,pro_com,pro_com_t,comune,comune_a,cc_uts,shape_leng,shape_area,den_prov,den_cm,den_uts,sigla,tipo_uts,den_reg,den_rip,ontopia
2783,2,4,22,0,22,22038,022038,Canal San Bovo,,0,70521.326317,125030332.54,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022038
2784,2,4,22,0,22,22039,022039,Canazei,,0,45543.6972406,67345411.2286,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022039
2785,2,4,22,0,22,22040,022040,Capriana,,0,16474.0272006,12809854.3764,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022040
2786,2,4,22,0,22,22042,022042,Carisolo,,0,32835.997952,25169679.7104,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022042
2787,2,4,22,0,22,22043,022043,Carzano,,0,9392.89293281,1739520.64454,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022043
2788,2,4,22,0,22,22045,022045,Castel Condino,,0,21106.6970343,11263252.2522,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022045
2789,2,4,22,0,22,22047,022047,Castello-Molina di Fiemme,,0,50781.184752,54540680.0933,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022047
2790,2,4,22,0,22,22048,022048,Castello Tesino,,0,76365.2896427,112627275.184,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022048
2791,2,4,22,0,22,22049,022049,Castelnuovo,,0,16703.5346223,13371397.7153,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022049
2792,2,4,22,0,22,22050,022050,Cavalese,,0,30732.2285761,45372485.3677,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022050
2793,2,4,22,0,22,22051,022051,Cavareno,,0,19742.577817,9494732.49357,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022051
2794,2,4,22,0,22,22052,022052,Cavedago,,0,17012.8413266,10084609.8854,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022052
2795,2,4,22,0,22,22053,022053,Cavedine,,0,26586.3452206,38015650.8458,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022053
2796,2,4,22,0,22,22054,022054,Cavizzana,,0,7215.5263672,3426623.0525,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022054
